index,name,surname,initials,age,dateOfBirth
1203,Shane,Galloway,S,32,1986/11/19
1204,"Garret Pieter",Duran,GP,25,1993/05/15
1205,Aaron,Gallagher,A,23,1995/01/15
1206,"Pieter Andre",Gallagher,PA,30,1988/07/17
1207,Santie,Edwards,S,26,1992/08/08
1208,Santie,Ellis,S,26,1992/04/24
1209,"Pieter Andre","Van Zyl",PA,14,2004/06/25
1210,Maria,Ellison,M,16,2002/12/16
1211,Shae,Duran,S,23,1995/03/12
1212,Shahmir,Emerson,S,13,2005/04/05
1213,"Pieter Andre",Dyer,PA,35,1983/03/26
1214,Susan,Harold,S,29,1989/12/12
1215,Santie,Edwards,S,26,1992/01/01
1216,jaco,Durham,j,30,1988/06/17
1217,Frik,Elliott,F,43,1975/11/23
1218,Ben,Edwards,B,11,2007/03/02
1219,Freddie,Edwards,F,28,1990/11/30
1220,"Pieter Andre",Eaton,PA,11,2007/01/09
1221,Freddie,Ellis,F,13,2005/08/21
1222,Riaan,Eaton,R,0,2018/12/25
1223,Aron-James,Dyer,A,13,2005/08/23
1224,Freddie,Fulton,F,32,1986/07/17
1225,Ben,Emerson,B,3,2015/07/26
1226,Jan,Fuller,J,21,1997/01/12
1227,Aron-James,Durham,A,45,1973/10/22
1228,Aron-James,Fuentes,A,15,2003/02/06
1229,Shadow,Elliott,S,25,1993/02/28
1230,Shahmir,Elliott,S,7,2011/10/15
1231,Frik,Harold,F,43,1975/11/28
1232,"Garret Pieter",Eaton,GP,23,1995/11/16
1233,"Pieter Andre",Harold,PA,36,1982/04/19
1234,Shae,Fuentes,S,28,1990/08/04
1235,Susan,Durham,S,3,2015/04/30
1236,Shae,England,S,30,1988/01/28
1237,Maria,Gaines,M,42,1976/02/28
1238,"Garret Pieter",Fuller,GP,42,1976/07/16
1239,Aron-James,Gaines,A,22,1996/03/28
1240,Santie,Gallagher,S,17,2001/01/26
1241,Ben,Gallagher,B,16,2002/01/04
1242,"Pieter Andre",Durham,PA,1,2017/09/19
1243,Aron-James,Durham,A,33,1985/02/14
1244,Freddie,Galloway,F,42,1976/12/28
1245,Santie,Eaton,S,4,2014/03/19
1246,Aaron,Emerson,A,46,1972/05/03
1247,Shane,Emerson,S,8,2010/07/14
1248,Santie,Ellis,S,36,1982/01/29
1249,Susan,Galloway,S,47,1971/04/10
1250,Shai,"Van Zyl",S,23,1995/04/01
1251,Shane,Fulton,S,31,1987/04/14
1252,"Garret Pieter",Emerson,GP,17,2001/01/24
1253,Aron-James,Elliott,A,16,2002/05/20
1254,Shadow,Gamble,S,42,1976/10/20
1255,Aron-James,Dyer,A,6,2012/02/15
1256,Maria,Galloway,M,16,2002/11/21
1257,Santie,Gaines,S,7,2011/02/01
1258,"Garret Pieter",England,GP,23,1995/07/16
1259,Susan,Harold,S,41,1977/03/23
1260,Frik,Gamble,F,0,2018/09/19
1261,Peter,Ellison,P,27,1991/11/04
1262,jaco,Galloway,j,21,1997/12/20
1263,Frik,Ellison,F,17,2001/04/09
1264,Santie,Galloway,S,2,2016/09/19
1265,Frik,Gallagher,F,48,1970/08/09
1266,Ben,England,B,42,1976/08/17
1267,Shane,Duran,S,10,2008/07/25
1268,"Garret Pieter",Durham,GP,2,2016/06/17
1269,"Pieter Andre",Eaton,PA,12,2006/03/24
1270,Shadow,England,S,29,1989/10/24
1271,Santie,Edwards,S,40,1978/07/19
1272,Shai,Duran,S,23,1995/06/19
1273,Shadow,Ellison,S,20,1998/10/19
1274,Susan,Edwards,S,20,1998/01/13
1275,Frik,Fuller,F,27,1991/05/14
1276,Peter,Duran,P,40,1978/06/16
1277,Susan,Duran,S,20,1998/07/10
1278,"Pieter Andre",Fulton,PA,6,2012/12/16
1279,Santie,Emerson,S,33,1985/01/16
1280,Miena,Harold,M,4,2014/07/12
1281,Santie,Gaines,S,16,2002/11/07
1282,Aron-James,Elliott,A,45,1973/05/08
1283,Ben,Emerson,B,31,1987/05/22
1284,"Pieter Andre","Van Zyl",PA,14,2004/10/07
1285,Shane,Gallagher,S,31,1987/03/02
1286,Shai,Durham,S,33,1985/05/16
1287,Peter,Fuller,P,41,1977/10/24
1288,Shadow,Ellison,S,9,2009/12/14
1289,Aaron,Ellis,A,36,1982/05/06
1290,Shane,Edwards,S,5,2013/07/18
1291,Shai,Gaines,S,41,1977/11/26
1292,Shane,England,S,28,1990/10/04
1293,Peter,"Van Zyl",P,2,2016/06/23
1294,Jan,Durham,J,39,1979/09/16
1295,Shae,Harold,S,34,1984/01/28
1296,Susan,Fuentes,S,11,2007/06/17
1297,Maria,Gallegos,M,37,1981/02/04
1298,Jan,Ellis,J,48,1970/09/23
1299,jaco,Gallagher,j,26,1992/12/11
1300,Aaron,Edwards,A,13,2005/01/11
1301,Peter,Gaines,P,45,1973/06/07
1302,jaco,Gallegos,j,34,1984/02/28
1303,"Pieter Andre",Ellis,PA,1,2017/04/16
1304,Shai,Durham,S,1,2017/03/16
1305,Shae,Fuller,S,40,1978/07/15
1306,jaco,Gallegos,j,40,1978/02/12
1307,Aaron,Fuller,A,13,2005/08/29
1308,Shahmir,Dyer,S,12,2006/11/14
1309,Miena,Ellison,M,12,2006/04/07
1310,Maria,Elliott,M,27,1991/10/26
1311,Shae,Elliott,S,9,2009/08/20
1312,jaco,England,j,15,2003/01/10
1313,Aaron,Elliott,A,44,1974/10/07
1314,Aaron,Durham,A,29,1989/12/06
1315,Ben,Gallegos,B,18,2000/03/01
1316,"Pieter Andre",Fulton,PA,27,1991/08/28
1317,Santie,Edwards,S,18,2000/10/19
1318,Aron-James,Harold,A,46,1972/02/11
1319,Shai,Harold,S,7,2011/12/21
1320,"Pieter Andre",Gamble,PA,30,1988/12/10
1321,Shahmir,Eaton,S,28,1990/03/01
1322,"Garret Pieter",Fulton,GP,44,1974/06/05
1323,Peter,Fulton,P,2,2016/08/01
1324,Shae,Gallagher,S,40,1978/09/15
1325,Susan,Duran,S,10,2008/10/29
1326,Susan,Gallagher,S,31,1987/06/30
1327,Shadow,Fulton,S,42,1976/03/27
1328,"Garret Pieter","Van Zyl",GP,46,1972/03/29
1329,Santie,"Van Zyl",S,27,1991/06/27
1330,jaco,Durham,j,18,2000/01/26
1331,Susan,Fuentes,S,17,2001/07/20
1332,"Garret Pieter",Ellison,GP,17,2001/01/22
1333,Frik,Harold,F,21,1997/02/12
1334,"Garret Pieter",Galloway,GP,13,2005/01/01
1335,Shahmir,Gallagher,S,21,1997/09/14
1336,"Pieter Andre",Gaines,PA,45,1973/07/09
1337,Ben,Fuller,B,47,1971/08/16
1338,Miena,Eaton,M,26,1992/03/05
1339,Frik,Elliott,F,9,2009/08/03
1340,Santie,Fuentes,S,20,1998/03/13
1341,Shahmir,Eaton,S,39,1979/02/17
1342,Peter,Gaines,P,4,2014/09/01
1343,Ben,Fuller,B,33,1985/11/12
1344,Riaan,Gaines,R,17,2001/10/09
1345,Riaan,Emerson,R,28,1990/02/04
1346,jaco,Fuller,j,43,1975/05/13
1347,Frik,Ellis,F,16,2002/08/05
1348,Jan,"Van Zyl",J,41,1977/01/22
1349,Jan,Duran,J,36,1982/02/17
1350,Jan,Fuentes,J,29,1989/09/26
1351,Peter,Gallegos,P,18,2000/08/23
1352,Susan,Ellis,S,21,1997/06/16
1353,Ben,Emerson,B,38,1980/05/08
1354,Jan,Elliott,J,11,2007/09/28
1355,Susan,Harold,S,6,2012/03/07
1356,Shae,Fulton,S,42,1976/12/07
1357,Susan,Fuller,S,30,1988/08/23
1358,Aaron,Gallegos,A,3,2015/11/23
1359,Jan,"Van Zyl",J,1,2017/06/03
1360,Aron-James,Dyer,A,29,1989/03/22
1361,Miena,Galloway,M,17,2001/02/28
1362,Riaan,Gamble,R,35,1983/03/18
1363,jaco,Gamble,j,31,1987/03/21
1364,Shane,Ellis,S,25,1993/07/30
1365,Shahmir,Ellis,S,5,2013/07/10
1366,Maria,Gallagher,M,27,1991/07/30
1367,Shai,Galloway,S,12,2006/03/29
1368,Jan,Fuller,J,23,1995/11/25
1369,Maria,Ellis,M,36,1982/12/25
1370,Miena,Duran,M,46,1972/01/17
1371,Shai,"Van Zyl",S,35,1983/03/15
1372,Peter,Gallegos,P,27,1991/01/30
1373,Santie,Ellis,S,21,1997/06/29
1374,Freddie,Elliott,F,26,1992/11/16
1375,"Pieter Andre",Fuentes,PA,32,1986/05/15
1376,"Pieter Andre",Fuller,PA,41,1977/05/14
1377,"Garret Pieter",Dyer,GP,29,1989/05/05
1378,Riaan,Fuentes,R,6,2012/04/26
1379,Miena,Fuller,M,28,1990/06/25
1380,Aaron,Harold,A,18,2000/03/25
1381,Aron-James,Eaton,A,35,1983/01/19
1382,Shae,England,S,44,1974/11/09
1383,Freddie,Dyer,F,28,1990/01/08
1384,Aron-James,Gamble,A,11,2007/12/16
1385,Shae,Fuller,S,32,1986/01/07
1386,Shai,Gaines,S,3,2015/01/19
1387,Jan,Edwards,J,26,1992/11/05
1388,Freddie,Fuentes,F,47,1971/11/23
1389,Freddie,Dyer,F,34,1984/01/08
1390,Riaan,Fulton,R,33,1985/04/28
1391,Shane,Gamble,S,20,1998/07/06
1392,Riaan,Gaines,R,35,1983/02/01
1393,Miena,Gallegos,M,46,1972/04/28
1394,"Garret Pieter",Fuller,GP,39,1979/12/02
1395,Shae,Fuller,S,43,1975/08/29
1396,Shai,Ellis,S,4,2014/05/18
1397,Peter,Harold,P,48,1970/01/21
1398,Susan,Gallegos,S,15,2003/10/22
1399,Freddie,Fulton,F,18,2000/08/18
1400,Jan,Galloway,J,18,2000/06/17
1401,Aaron,Gallegos,A,17,2001/04/29
1402,jaco,Galloway,j,37,1981/10/06
1403,Shahmir,Ellis,S,26,1992/08/29
1404,jaco,Elliott,j,12,2006/11/30
1405,Susan,Duran,S,48,1970/05/13
1406,Jan,Eaton,J,28,1990/02/15
1407,Santie,Galloway,S,10,2008/06/03
1408,Peter,Ellison,P,4,2014/11/14
1409,Santie,Fuentes,S,8,2010/01/25
1410,Shae,Gamble,S,27,1991/05/24
1411,Shadow,Emerson,S,35,1983/01/19
1412,Peter,Harold,P,38,1980/10/03
1413,"Garret Pieter",Ellison,GP,16,2002/10/23
1414,Shane,Ellis,S,1,2017/04/24
1415,Riaan,"Van Zyl",R,4,2014/06/07
1416,"Garret Pieter",Fulton,GP,38,1980/10/06
1417,Aaron,Gallagher,A,17,2001/11/11
1418,Santie,Gallegos,S,31,1987/08/17
1419,Miena,Gaines,M,27,1991/10/24
1420,Shahmir,Emerson,S,28,1990/02/27
1421,Frik,"Van Zyl",F,21,1997/07/18
1422,Santie,Emerson,S,36,1982/06/14
1423,Freddie,Durham,F,48,1970/09/03
1424,Jan,Dyer,J,19,1999/02/27
1425,Shane,Ellison,S,13,2005/03/01
1426,Miena,Ellis,M,0,2018/09/11
1427,Ben,Emerson,B,27,1991/02/10
1428,Shai,Gamble,S,45,1973/05/05
1429,"Garret Pieter",Durham,GP,16,2002/08/24
1430,Maria,Durham,M,3,2015/08/26
1431,Jan,Gamble,J,24,1994/01/05
1432,jaco,Emerson,j,37,1981/10/29
1433,Riaan,Gallagher,R,28,1990/11/18
1434,Santie,Fulton,S,33,1985/02/04
1435,Peter,Duran,P,48,1970/03/21
1436,Freddie,Dyer,F,26,1992/12/29
1437,Aron-James,Ellis,A,46,1972/01/27
1438,Susan,Elliott,S,29,1989/09/05
1439,Riaan,Duran,R,44,1974/04/30
1440,"Pieter Andre",Gamble,PA,27,1991/08/12
1441,Peter,"Van Zyl",P,48,1970/02/24
1442,"Pieter Andre",Harold,PA,26,1992/11/11
1443,Freddie,England,F,12,2006/03/24
1444,Santie,Gallegos,S,21,1997/12/22
1445,jaco,Emerson,j,17,2001/02/07
1446,Frik,Duran,F,0,2018/05/17
1447,Shai,"Van Zyl",S,9,2009/06/02
1448,Maria,Fulton,M,45,1973/08/11
1449,Shai,Ellis,S,3,2015/09/01
1450,Frik,Ellison,F,21,1997/11/14
1451,Shadow,Ellison,S,35,1983/11/10
1452,Peter,Gaines,P,11,2007/06/15
1453,"Garret Pieter",Gallagher,GP,40,1978/08/08
1454,"Pieter Andre",Eaton,PA,16,2002/06/10
1455,Maria,"Van Zyl",M,19,1999/12/27
1456,Peter,"Van Zyl",P,20,1998/08/10
1457,"Pieter Andre",Fuentes,PA,9,2009/09/13
1458,Ben,Galloway,B,41,1977/01/28
1459,Shai,Dyer,S,20,1998/03/09
1460,Susan,Gaines,S,43,1975/10/03
1461,Maria,Fuller,M,23,1995/03/25
1462,Shai,Duran,S,17,2001/03/04
1463,"Pieter Andre",Gallagher,PA,29,1989/12/20
1464,Peter,Dyer,P,11,2007/07/20
1465,"Garret Pieter",Fulton,GP,11,2007/01/01
1466,"Garret Pieter",Fulton,GP,5,2013/09/04
1467,Frik,Gallagher,F,1,2017/03/04
1468,Riaan,"Van Zyl",R,40,1978/12/17
1469,Shahmir,Eaton,S,40,1978/10/27
1470,Miena,Fuller,M,16,2002/04/04
1471,jaco,Ellison,j,14,2004/11/24
1472,Shadow,Galloway,S,44,1974/06/07
1473,Shadow,Gamble,S,15,2003/09/30
1474,Susan,Gamble,S,19,1999/11/22
1475,"Garret Pieter",Eaton,GP,25,1993/10/12
1476,Peter,"Van Zyl",P,22,1996/10/03
1477,Jan,Emerson,J,9,2009/07/01
1478,Frik,Gallagher,F,2,2016/08/08
1479,Freddie,Fulton,F,44,1974/08/21
1480,Ben,Emerson,B,39,1979/06/18
1481,Frik,Gallagher,F,10,2008/06/20
1482,Susan,Fuentes,S,5,2013/08/09
1483,Santie,England,S,9,2009/08/14
1484,Shai,Eaton,S,46,1972/01/17
1485,Frik,Eaton,F,33,1985/01/14
1486,Shae,Emerson,S,13,2005/09/13
1487,Miena,Ellis,M,48,1970/10/17
1488,Aaron,England,A,26,1992/04/16
1489,Miena,Gamble,M,7,2011/02/05
1490,Santie,Fuller,S,39,1979/04/29
1491,Riaan,Fuentes,R,45,1973/03/09
1492,Shane,Durham,S,4,2014/07/14
1493,"Pieter Andre",Eaton,PA,26,1992/02/25
1494,Shai,Harold,S,41,1977/03/27
1495,Susan,England,S,41,1977/06/02
1496,Frik,Gamble,F,25,1993/09/12
1497,Miena,Durham,M,24,1994/07/29
1498,Freddie,Fulton,F,19,1999/03/02
1499,Aaron,Gaines,A,33,1985/08/23
1500,Ben,England,B,35,1983/05/14
1501,Freddie,England,F,27,1991/04/12
1502,Santie,Elliott,S,2,2016/12/16
1503,Aron-James,Ellis,A,27,1991/05/25
1504,Aaron,Fuller,A,40,1978/04/25
1505,"Garret Pieter",Fuentes,GP,36,1982/03/02
1506,Susan,Gallagher,S,4,2014/06/09
1507,Miena,Fuentes,M,17,2001/02/20
1508,"Pieter Andre",Eaton,PA,29,1989/05/12
1509,Shadow,England,S,32,1986/08/30
1510,Ben,England,B,37,1981/08/25
1511,Shae,Gallagher,S,14,2004/03/05
1512,Shae,Gamble,S,41,1977/01/21
1513,Shane,Gaines,S,11,2007/12/24
1514,Riaan,Gaines,R,9,2009/06/26
1515,Jan,Ellis,J,47,1971/06/13
1516,Santie,Gallagher,S,33,1985/02/05
1517,Susan,Ellis,S,30,1988/12/21
1518,Freddie,Elliott,F,44,1974/09/25
1519,"Pieter Andre",Eaton,PA,46,1972/05/07
1520,Santie,Ellison,S,7,2011/04/06
1521,Aron-James,Durham,A,14,2004/05/21
1522,Frik,Gaines,F,2,2016/06/03
1523,Shadow,England,S,12,2006/09/13
1524,"Garret Pieter",Fuller,GP,37,1981/01/06
1525,Shadow,Edwards,S,31,1987/01/05
1526,Shai,Durham,S,5,2013/11/21
1527,Aaron,Gamble,A,34,1984/09/16
1528,Jan,Gallagher,J,37,1981/04/01
1529,Susan,Fulton,S,44,1974/04/10
1530,Frik,Gamble,F,7,2011/07/08
1531,Ben,Emerson,B,21,1997/01/15
1532,Santie,England,S,8,2010/09/28
1533,Aron-James,"Van Zyl",A,26,1992/05/23
1534,jaco,Gamble,j,29,1989/10/12
1535,Shadow,Fuentes,S,11,2007/06/10
1536,Ben,Fuller,B,33,1985/10/12
1537,Ben,Fuller,B,37,1981/08/27
1538,Peter,Duran,P,41,1977/06/07
1539,Maria,Eaton,M,19,1999/04/26
1540,jaco,Eaton,j,48,1970/02/27
1541,Santie,Gallagher,S,21,1997/09/20
1542,Shai,Ellison,S,20,1998/08/23
1543,Shane,Gamble,S,37,1981/09/03
1544,Shadow,Elliott,S,18,2000/12/30
1545,Freddie,Fuller,F,16,2002/09/08
1546,Aaron,Ellis,A,48,1970/09/26
1547,Susan,Gallagher,S,4,2014/04/27
1548,Shahmir,England,S,24,1994/07/21
1549,Jan,Edwards,J,37,1981/05/06
1550,Shae,Gaines,S,46,1972/11/26
1551,jaco,Gamble,j,27,1991/03/15
1552,Aaron,Elliott,A,30,1988/05/16
1553,Santie,Ellis,S,21,1997/07/14
1554,Freddie,Edwards,F,38,1980/07/24
1555,Ben,Gallegos,B,48,1970/04/25
1556,Jan,Harold,J,28,1990/06/01
1557,Shai,Galloway,S,44,1974/11/10
1558,Aaron,Duran,A,2,2016/02/22
1559,Aaron,Gallegos,A,35,1983/09/02
1560,Jan,Gallegos,J,8,2010/07/07
1561,Shadow,Dyer,S,21,1997/04/21
1562,Shadow,Fuller,S,33,1985/09/30
1563,Aaron,Fuentes,A,31,1987/03/20
1564,Freddie,Gamble,F,1,2017/07/18
1565,Maria,Fulton,M,3,2015/07/05
1566,Shadow,England,S,38,1980/10/17
1567,Shae,England,S,36,1982/06/19
1568,"Garret Pieter",Gamble,GP,21,1997/10/29
1569,Freddie,Galloway,F,18,2000/11/07
1570,Santie,Dyer,S,39,1979/08/10
1571,Freddie,England,F,23,1995/12/20
1572,Santie,Ellis,S,17,2001/01/21
1573,Aron-James,Harold,A,4,2014/07/18
1574,Ben,Ellison,B,26,1992/11/28
1575,"Garret Pieter",Edwards,GP,12,2006/04/10
1576,Aaron,Elliott,A,15,2003/06/30
1577,Ben,Eaton,B,20,1998/01/08
1578,Susan,Gallagher,S,46,1972/11/11
1579,Jan,Ellis,J,22,1996/07/07
1580,Freddie,Edwards,F,9,2009/04/05
1581,Frik,Edwards,F,42,1976/10/10
1582,Peter,Harold,P,8,2010/02/09
1583,Aaron,Edwards,A,42,1976/05/24
1584,Shae,Elliott,S,18,2000/08/06
1585,Santie,Gallegos,S,39,1979/05/01
1586,Shane,"Van Zyl",S,47,1971/11/06
1587,Shae,England,S,25,1993/06/08
1588,"Garret Pieter",Duran,GP,8,2010/10/28
1589,Jan,Gallegos,J,32,1986/01/10
1590,Miena,Durham,M,9,2009/05/24
1591,Frik,Gamble,F,23,1995/04/30
1592,Freddie,Gaines,F,8,2010/11/29
1593,Aaron,Eaton,A,6,2012/09/18
1594,Shae,Durham,S,30,1988/11/08
1595,Maria,Eaton,M,42,1976/03/29
1596,Shadow,Durham,S,48,1970/02/25
1597,Shane,Gaines,S,14,2004/03/27
1598,Aaron,Dyer,A,10,2008/01/18
1599,Susan,Ellis,S,41,1977/08/13
1600,Ben,Galloway,B,14,2004/04/18
1601,Aron-James,Gallagher,A,33,1985/04/01
1602,Santie,Durham,S,7,2011/03/25
1603,Shahmir,Gaines,S,5,2013/12/03
1604,Aron-James,Gallegos,A,10,2008/07/12
1605,Shai,Fuller,S,18,2000/02/09
1606,Aron-James,Fuller,A,30,1988/10/04
1607,jaco,Fulton,j,8,2010/04/20
1608,Shahmir,"Van Zyl",S,18,2000/01/15
1609,"Pieter Andre","Van Zyl",PA,16,2002/04/01
1610,Ben,Gaines,B,9,2009/11/04
1611,Jan,Emerson,J,42,1976/08/04
1612,Freddie,Gallagher,F,22,1996/05/15
1613,Peter,Fuller,P,33,1985/08/28
1614,"Garret Pieter",Emerson,GP,39,1979/12/14
1615,Aaron,"Van Zyl",A,11,2007/02/21
1616,"Pieter Andre",Gallagher,PA,38,1980/04/15
1617,Jan,Fulton,J,16,2002/03/16
1618,"Garret Pieter",Gallagher,GP,24,1994/09/22
1619,Santie,Galloway,S,24,1994/12/13
1620,Aaron,Duran,A,16,2002/05/18
1621,Ben,Harold,B,37,1981/06/07
1622,Aron-James,Durham,A,18,2000/02/25
1623,Jan,Gaines,J,29,1989/12/06
1624,Riaan,Fuentes,R,25,1993/10/13
1625,Shai,Edwards,S,46,1972/04/01
1626,Aron-James,Galloway,A,26,1992/09/09
1627,Aron-James,Harold,A,35,1983/10/17
1628,Shahmir,Emerson,S,14,2004/11/02
1629,Shae,Gamble,S,3,2015/09/12
1630,Shai,Elliott,S,12,2006/06/25
1631,Susan,Ellison,S,37,1981/02/26
1632,Riaan,Fuentes,R,27,1991/01/04
1633,Shane,Gaines,S,29,1989/05/03
1634,Jan,Duran,J,34,1984/06/10
1635,Shae,Galloway,S,24,1994/06/13
1636,Frik,Ellis,F,21,1997/02/21
1637,"Pieter Andre",Fulton,PA,44,1974/06/07
1638,Frik,Fuentes,F,14,2004/03/25
1639,Shane,"Van Zyl",S,7,2011/03/29
1640,Miena,Gamble,M,33,1985/09/18
1641,Riaan,Emerson,R,14,2004/07/30
1642,Riaan,Emerson,R,19,1999/05/20
1643,Aaron,Gamble,A,2,2016/01/22
1644,Maria,Emerson,M,36,1982/06/04
1645,Frik,Gallagher,F,30,1988/10/27
1646,Shahmir,Eaton,S,18,2000/05/08
1647,"Pieter Andre",Durham,PA,27,1991/06/02
1648,"Pieter Andre",Durham,PA,41,1977/04/11
1649,"Pieter Andre",Gamble,PA,36,1982/07/12
1650,Shae,Ellison,S,15,2003/05/29
1651,Jan,England,J,3,2015/10/15
1652,Freddie,Gallagher,F,35,1983/04/25
1653,Shahmir,Fuentes,S,46,1972/07/29
1654,jaco,Dyer,j,24,1994/09/27
1655,Shadow,Ellison,S,26,1992/03/30
1656,Shai,Duran,S,19,1999/06/16
1657,Shai,Harold,S,33,1985/11/23
1658,Miena,Fuentes,M,36,1982/06/25
1659,Jan,Emerson,J,15,2003/04/29
1660,Riaan,Ellison,R,37,1981/05/04
1661,Shadow,Eaton,S,11,2007/05/19
1662,Aron-James,Ellis,A,38,1980/10/10
1663,Aron-James,Duran,A,8,2010/03/08
1664,"Garret Pieter",Elliott,GP,24,1994/05/22
1665,Miena,Durham,M,27,1991/03/25
1666,Peter,Gamble,P,41,1977/08/27
1667,Shahmir,Emerson,S,30,1988/12/15
1668,"Garret Pieter",Galloway,GP,20,1998/11/04
1669,Frik,Fuentes,F,2,2016/06/04
1670,Santie,"Van Zyl",S,42,1976/11/27
1671,Shahmir,Ellis,S,34,1984/10/08
1672,Freddie,Fuller,F,2,2016/11/08
1673,Riaan,Ellis,R,34,1984/04/13
1674,Peter,Fulton,P,15,2003/03/03
1675,Shahmir,Gamble,S,6,2012/10/28
1676,Shadow,Ellison,S,46,1972/10/06
1677,Peter,Ellison,P,21,1997/07/13
1678,Frik,Gamble,F,31,1987/07/06
1679,Frik,Emerson,F,8,2010/09/29
1680,Maria,Durham,M,44,1974/11/12
1681,Shadow,England,S,12,2006/12/07
1682,Shadow,Emerson,S,22,1996/08/19
1683,Freddie,Edwards,F,16,2002/06/01
1684,Shahmir,Gallagher,S,17,2001/06/28
1685,Shadow,Ellison,S,23,1995/11/21
1686,"Pieter Andre",Fulton,PA,27,1991/08/15
1687,Santie,Ellis,S,26,1992/01/08
1688,Jan,"Van Zyl",J,48,1970/01/19
1689,Aron-James,Fulton,A,46,1972/02/28
1690,"Pieter Andre",Harold,PA,0,2018/05/03
1691,Peter,Harold,P,7,2011/06/13
1692,Shane,Elliott,S,16,2002/08/23
1693,Shadow,Fulton,S,18,2000/06/19
1694,Santie,Dyer,S,41,1977/09/24
1695,Shahmir,Eaton,S,5,2013/11/20
1696,Shai,Emerson,S,48,1970/07/10
1697,Freddie,Durham,F,31,1987/04/04
1698,Maria,Dyer,M,43,1975/11/06
1699,Santie,Galloway,S,7,2011/12/08
1700,Susan,Durham,S,33,1985/05/03
1701,Aron-James,Gaines,A,9,2009/09/15
1702,Susan,"Van Zyl",S,19,1999/01/29
1703,Santie,Ellison,S,7,2011/12/05
1704,Riaan,England,R,34,1984/05/24
1705,Shane,Galloway,S,12,2006/06/10
1706,Aaron,Fulton,A,12,2006/10/17
1707,Susan,Gallegos,S,30,1988/08/13
1708,Ben,Dyer,B,31,1987/02/12
1709,Jan,Elliott,J,19,1999/11/17
1710,"Pieter Andre",Gaines,PA,9,2009/03/03
1711,"Pieter Andre",Fuller,PA,24,1994/06/02
1712,Peter,Durham,P,7,2011/10/07
1713,Jan,Dyer,J,26,1992/01/07
1714,Peter,Harold,P,3,2015/05/19
1715,Ben,Galloway,B,37,1981/08/10
1716,Shae,Harold,S,31,1987/07/26
1717,Aron-James,Gallegos,A,10,2008/10/08
1718,Jan,Galloway,J,44,1974/02/09
1719,Freddie,Gallagher,F,34,1984/05/26
1720,Shadow,Gamble,S,47,1971/01/05
1721,Aaron,Durham,A,10,2008/05/18
1722,Freddie,Fuentes,F,14,2004/04/29
1723,Shae,Fulton,S,16,2002/01/27
1724,Miena,Edwards,M,37,1981/07/19
1725,Susan,Harold,S,19,1999/04/19
1726,Jan,Gaines,J,8,2010/11/28
1727,Shadow,Eaton,S,34,1984/11/03
1728,Aron-James,Ellison,A,38,1980/11/14
1729,Shadow,Galloway,S,8,2010/01/06
1730,Shahmir,Gamble,S,4,2014/02/03
1731,Jan,Harold,J,39,1979/08/10
1732,Aaron,"Van Zyl",A,45,1973/12/16
1733,Frik,Gallegos,F,48,1970/06/13
1734,Miena,Fulton,M,43,1975/05/27
1735,Susan,Harold,S,14,2004/11/06
1736,Peter,Dyer,P,2,2016/11/18
1737,Peter,Harold,P,5,2013/07/05
1738,"Pieter Andre",Fuller,PA,45,1973/02/25
1739,Shane,Durham,S,28,1990/01/09
1740,Shae,England,S,17,2001/03/14
1741,Aron-James,Ellison,A,5,2013/04/26
1742,Shai,Fulton,S,35,1983/09/15
1743,Susan,Dyer,S,9,2009/02/12
1744,Shahmir,Durham,S,18,2000/09/25
1745,Peter,Gallagher,P,32,1986/09/01
1746,Maria,Gamble,M,30,1988/04/03
1747,Susan,Gallegos,S,36,1982/07/01
1748,Jan,Gallagher,J,7,2011/03/18
1749,Santie,Duran,S,11,2007/01/06
1750,Riaan,Gallagher,R,36,1982/11/07
1751,Peter,Duran,P,47,1971/07/24
1752,Susan,Gaines,S,17,2001/04/23
1753,Aaron,Fuentes,A,43,1975/11/14
1754,jaco,Durham,j,29,1989/03/13
1755,Miena,Fulton,M,36,1982/09/26
1756,Maria,Fuentes,M,26,1992/08/06
1757,Santie,Galloway,S,44,1974/10/17
1758,Freddie,Harold,F,14,2004/08/25
1759,Maria,Eaton,M,31,1987/05/09
1760,"Garret Pieter",Harold,GP,42,1976/08/29
1761,"Pieter Andre",Ellis,PA,27,1991/04/09
1762,Susan,Gamble,S,30,1988/05/08
1763,Riaan,Galloway,R,35,1983/09/24
1764,Maria,Ellis,M,33,1985/10/19
1765,Freddie,Fuentes,F,44,1974/09/25
1766,Miena,Fulton,M,37,1981/04/21
1767,Aaron,Harold,A,35,1983/06/10
1768,Aron-James,Fulton,A,17,2001/04/19
1769,Shae,Gallegos,S,29,1989/03/18
1770,Jan,Fulton,J,20,1998/04/09
1771,jaco,Gallagher,j,10,2008/02/22
1772,Riaan,Dyer,R,5,2013/03/11
1773,jaco,Gamble,j,2,2016/07/26
1774,Susan,Ellison,S,2,2016/11/04
1775,Peter,Gallagher,P,43,1975/04/24
1776,Maria,Ellis,M,3,2015/01/10
1777,Shadow,Ellis,S,3,2015/11/21
1778,Susan,Fuller,S,35,1983/08/07
1779,Peter,Durham,P,5,2013/03/30
1780,Riaan,Edwards,R,22,1996/06/29
1781,Shai,Elliott,S,38,1980/06/15
1782,jaco,Fulton,j,14,2004/12/09
1783,Shae,Dyer,S,42,1976/01/03
